RecordTypeId,Field__c,Field_Label__c,New_Value__c,Object__c,Object_Label__c,Old_Value__c,Record_Id__c,Record_Name__c,Relation__c,User__c,Errors,Id
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofvAAB,Sparkasse Spree-Neiße,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTMQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0p9aAAB,Sparkasse Krefeld,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTNQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeyAAB,Sparkasse Olpe-Drolshagen-Wenden,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTOQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oezAAB,Sparkasse Rosenheim-Bad Aibling,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTPQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oedAAB,Sparkasse Salem-Heiligenberg,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTQQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ocqAAB,Sparkasse Leipzig,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTRQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofGAAR,Sparkasse Memmingen-Lindau-Mindelheim,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTSQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0o7XAAR,Sparkasse Nürnberg,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTTQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0odvAAB,Sparkasse Schwäbisch Hall-Crailsheim,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTUQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oeCAAR,Sparkasse Siegen,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTVQAZ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oesAAB,Sparkasse Märkisch-Oderland,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTWQAZ
